"Work","Chapter","Verse","Version","Script" 
"Gal","04","20","01VM","θέλω@viia1s δέ@cc πάρειμι@vnpa πρός@pa σύ@rpa-p ἄρτι@b καί@cc ἀλλάσσω@vnaa ὁ@dafs φωνή@nafsc ἐγώ@rpg-s ὅτι@cs ἀπορέω@vipm1s ἐν@pd σύ@rpd-p" 
"Gal","04","21","01VM","λέγω@vdpa2p ἐγώ@rpd-s ὁ@dnmp ὑπό@pa νόμος@namsc θέλω@vppanmp εἰμί@vnpa ὁ@dams νόμος@namsc οὐ@b ἀκούω@vipa2p" 
"Gal","04","22","01VM","γράφω@vixp3s γάρ@cc ὅτι@cs Ἀβραάμ@nnmsp δύο@acampn υἱός@nampc ἔχω@viaa3s εἷς@acamsn ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc καί@cc εἷς@acamsn ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn" 
"Gal","04","23","01VM","ἀλλά@cc ὁ@dnms ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc κατά@pa σάρξ@nafsc γεννάω@vixp3s ὁ@dnms δέ@cc ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn διά@pg ὁ@dgfs ἐπαγγελία@ngfsc" 
"Gal","04","24","01VM","ὅστις@rrnnp εἰμί@vipa3s ἀλληγορέω@vpppnnp οὗτος@rdnfp γάρ@cc εἰμί@vipa3p δύο@acnfpn διαθήκη@nnfpc εἷς@acnfsn μέν@x ἀπό@pg ὄρος@ngnsc Σινᾶ@ngnsp εἰς@pa ὁ@dafs συναγωγή@nafsc ὁ@dgmp Ἰουδαῖος@angmpn κατά@pa νόμος@namsc εἰς@pa δουλεία@nafsc γεννάω@vppanfs" 
"Eph","01","21","01VM","εἷς@acnfsn δέ@cc ὑπέρ@pa πᾶς@aiafsn δυναστεία@nafsc (δύναμις@nafsc κυριότης@nafsc καί@cc πᾶς@aiansn ὄνομα@nansc ὀνομάζω@vpppans οὐ@b μόνος@b ἐν@pd ὁ@ddms αἰών@ndmsc οὗτος@rddms ἀλλά@cc καί@b ἐν@pd ὁ@ddms μέλλω@vppadms) γεννάω@vppanfs" 
"Gal","04","26","01VM","ὅστις@rrnfs εἰμί@vipa3s μήτηρ@nnfsc ἐγώ@rpg-p" 
"Gal","04","31","01VM","διό@cc ἀδελφός@nvmpc οὐ@b εἰμί@vipa1p παιδίσκη@ngfsc τέκνον@nnnpc ἀλλά@cc ὁ@dgfs ἐλεύθερος@angfsn" 
"Gal","05","01","01VM","ὅς@rrdfs ἐλευθερία@ndfsc ἐγώ@rpa-p Χριστός@nnmsp ἐλευθερόω@viaa3s στήκω@vdpa2p καί@cc μή@x πάλιν@b ζυγός@ndmsc /1@/2 ἀνέχω@vdpp2p" 
"Gal","05","02","01VM","ὁράω@i ἐγώ@rpn-s Παῦλος@nnmsp λέγω@vipa1s σύ@rpd-p ὅτι@cs ἐάν@cs περιτέμνω@vspp2p Χριστός@nnmsp σύ@rpa-p οὐδείς@rians ὠφελέω@vifa3s" 
"Gal","05","03","01VM","μαρτύρομαι@vipm1s δέ@cc πάλιν@b ὅτι@cs ἄνθρωπος@nnmsc περιτέμνω@vpxpnms ὀφειλέτης@nnmsc εἰμί@vipa3s ὅλος@anamsn ὁ@dams νόμος@namsc πληρόω@vnaa" 
"Gal","05","04","01VM","καταργέω@vdpa2p ὁ@dans σημεῖον@nansc ὁ@dgfs δουλεία@ngfsc ὅστις@rrnmp ἐν@pd νόμος@ndmsc δικαιόω@vipp2p ὁ@dgfs χάρις@ngfsc ἐκπίπτω@viaa2p" 
"Gal","05","05","01VM","ἐγώ@rpn-p γάρ@cc πνεῦμα@ndnsc ἐκ@pg πίστις@ngfsc ἐλπίς@nafsc δικαιοσύνη@ngfsc ἀπεκδέχομαι@vipm1p" 
"Gal","05","07","01VM","τρέχω@viia2p καλῶς@b τίς@rqnms σύ@rpa-p ἐγκόπτω@viaa3s ὁ@ddfs ἀλήθεια@ndfsc μή@x πείθω@vnpp" 
"Gal","05","08","01VM","ὁ@dnfs πεισμονή@nnfsc ἐκ@pg ὁ@dgms καλέω@vppagms καί@cc οὐ@b ἐκ@pg ἐγώ@rpg-p" 
"Gal","05","09","01VM","μικρός@annfsn ζύμη@nnfsc ὅλος@anansn ὁ@dans φύραμα@nansc δολόω@vipa3s" 
"Gal","05","10","01VM","ἐγώ@rpn-s πείθω@vixa1s εἰς@pa σύ@rpa-p ὅτι@cs οὐδείς@rians ἄλλος@aiansn φρονέω@vifa2p ὁ@dnms δέ@cc ταράσσω@vppanms σύ@rpa-p βαστάζω@vifa3s ὁ@dans κρίμα@nansc ὅστις@rrnms ἐάν@x εἰμί@vspa3s" 
"Gal","05","11","01VM","ἐγώ@rpn-s δέ@cc ἀδελφός@nvmpc εἰ@cs περιτομή@nafsc ἔτι@b κηρύσσω@vipa1s τίς@rqans ἔτι@b διώκω@vipp1s ἄρα@x καταργέω@vixp3s ὁ@dnns σκάνδαλον@nnnsc ὁ@dgms σταυρός@ngmsc" 
"Gal","05","12","01VM","ὄφελον@x καί@b ἀποκόπτω@vifm3p ὁ@dnmp ἀναστατόω@vppanmp σύ@rpa-p" 
"Gal","05","13","01VM","σύ@rpn-p γάρ@cc ἐπί@pd ἐλευθερία@ndfsc καλέω@viap2p ἀδελφός@nvmpc μόνος@b μή@x ὁ@dafs ἐλευθερία@nafsc εἰς@pa ἀφορμή@nafsc ὁ@ddfs σάρξ@ndfsc ἀλλά@cc διά@pg ὁ@dgfs ἀγάπη@ngfsc δουλεύω@vdpa2p ἀλλήλων@redmp" 
"Gal","05","14","01VM","ὁ@dnms γάρ@cc πᾶς@ainmsn νόμος@nnmsc σύ@rpd-p πληρόω@vixp3s ἀγαπάω@vifa2s ὁ@dams πλησίον@b σύ@rpg-s ὡς@cs σεαυτοῦ@rxams" 
"Gal","05","15","01VM","εἰ@cs δέ@cc ἀλλήλων@reamp δάκνω@vipa2p καί@cc κατεσθίω@vipa2p βλέπω@vdpa2p μή@x ὑπό@pg ἀλλήλων@regmp ἀναλίσκω@vsap2p" 
"Gal","05","16","01VM","λέγω@vipa1s δέ@cc πνεῦμα@ndnsc περιπατέω@vdpa2p καί@cc ἐπιθυμία@nafsc σάρξ@ngfsc οὐ@b μή@x τελέω@vsaa2p" 
"Gal","05","17","01VM","ὁ@dnfs γάρ@cc σάρξ@nnfsc ἐπιθυμέω@vipa3s κατά@pg ὁ@dgns πνεῦμα@ngnsc ὁ@dnns δέ@cc πνεῦμα@nnnsc κατά@pg ὁ@dgfs σάρξ@ngfsc οὗτος@rdnnp γάρ@cc ἀλλήλων@rednp ἀντίκειμαι@vipm3s ἵνα@cs μή@x ἄν@x θέλω@vspa2p οὗτος@rdanp ποιέω@vspa2p" 
"Gal","05","18","01VM","εἰ@cs δέ@cc πνεῦμα@ndnsc ἄγω@vipp2p οὐ@b εἰμί@vipa2p ὑπό@pa νόμος@namsc" 
"Gal","05","19","01VM","φανερός@annnpn δέ@cc εἰμί@vipa3s ὁ@dnnp ἔργον@nnnpc ὁ@dgfs σάρξ@ngfsc ὅστις@rrnnp εἰμί@vipa3s πορνεία@nnfsc ἀκαθαρσία@nnfsc ἀσέλγεια@nnfsc" 
