"book","chapter","verse","edition","text"
"Gal","3","13","3.03","Χριστός@nnmsp ἐγώ@rpa-p ἐξαγοράζω@viaa3s ἐκ@pg ὁ@dgfs κατάρα@ngfsc ὁ@dgms νόμος@ngmsc γίνομαι@vpamnms ὑπέρ@pg ἐγώ@rpg-p κατάρα@nnfsc ὅτι@cs γράφω@vixp3s ἐπικατάρατος@annmsn πᾶς@ainmsn ὁ@dnms κρεμάννυμι@vpppnms ἐπί@pg ξύλον@ngnsc"
"Gal","3","14b","3.03","λαμβάνω@viaa1p οὖν@cc ὁ@dafs εὐλογία@nafsc ὁ@dgns πνεῦμα@ngnsc διά@pg ὁ@dgfs πίστις@ngfsc"
"Gal","3","26","3.03","πᾶς@ainmpn γάρ@cc υἱός@nnmpc θεός@ngmsc εἰμί@vipa2p διά@pg ὁ@dgfs πίστις@ngfsc"
"Gal","3","27","3.03","[ὅσος@rrnmp γάρ@cc εἰς@pa Χριστός@namsp βαπτίζω@viap2p Χριστός@namsp ἐνδύω@viam2p]"
"Gal","3","28","3.03","[οὐ@b ἔνειμι@vipa3s Ἰουδαῖος@annmsn οὐδέ@cc Ἕλλην@nnmsp οὐ@b ἔνειμι@vipa3s δοῦλος@nnmsc οὐδέ@cc ἐλεύθερος@annmsn οὐ@b ἔνειμι@vipa3s ἄρσην@annnsn καί@cc θῆλυς@annnsn πᾶς@ainmpn γάρ@cc σύ@rpn-p εἷς@acnmsn εἰμί@vipa2p ἐν@pd Χριστός@ndmsp Ἰησοῦς@ndmsp]"
"Gal","3","29","3.03","[εἰ@cs δέ@cc σύ@rpn-p Χριστός@ngmsp] [κατά@pa ἐπαγγελία@nafsc κληρονόμος@nnmpc]"
"Gal","4","01","3.03","[λέγω@vipa1s δέ@cc ἐπί@pa ὅσος@aramsn χρόνος@namsc ὁ@dnms κληρονόμος@nnmsc νήπιος@annmsn εἰμί@vipa3s οὐδείς@rians διαφέρω@vipa3s δοῦλος@ngmsc κύριος@nnmsc πᾶς@aignpn εἰμί@vppanms]"
"Gal","4","02","3.03","[ἀλλά@cc ὑπό@pa ἐπίτροπος@nampc εἰμί@vipa3s καί@cc οἰκονόμος@nampc ἄχρι@pg ὁ@dgfs προθεσμία@ngfsc ὁ@dgms πατήρ@ngmsc]"
"Gal","4","03","3.03","ἔτι@b κατά@pa ἄνθρωπος@namsc λέγω@vipa1s ὅτε@cs εἰμί@viia1p νήπιος@annmpn ὑπό@pa ὁ@danp στοιχεῖον@nanpc ὁ@dgms κόσμος@ngmsc εἰμί@viim1p δουλόω@vpxpnmp"
"Gal","4","04","3.03","ὅτε@cs δέ@cc ἔρχομαι@viaa3s ὁ@dnns πλήρωμα@nnnsc ὁ@dgms χρόνος@ngmsc ἐξαποστέλλω@viaa3s ὁ@dnms θεός@nnmsc ὁ@dams υἱός@namsc αὐτός@rpgms"
"Gal","4","05","3.03","ἵνα@cs ὁ@damp ὑπό@pa νόμος@namsc ἐξαγοράζω@vsaa3s (καί@c) ἵνα@cs (εἰς@pa υἱοθεσία@nafsc ἀπολαμβάνω@vsaa1p) []"
"Gal","4","06","3.03","ὅτε@cs δέ@cc εἰμί@vipa2p υἱός@nnmpc ἐξαποστέλλω@viaa3s ὁ@dnms θεός@nnmsc ὁ@dans πνεῦμα@nansc ὁ@dgms υἱός@ngmsc αὐτός@rpgms εἰς@pa ὁ@dafp καρδία@nafpc ἐγώ@rpg-p κράζω@vppaans ἀββά@nvmsc ὁ@dnms πατήρ@nnmsc"
"Gal","4","07","3.03","[ὥστε@cs οὐκέτι@b εἰμί@vipa2s δοῦλος@nnmsc ἀλλά@cc υἱός@nnmsc εἰ@cs δέ@cc υἱός@nnmsc καί@b κληρονόμος@nnmsc διά@pg θεός@ngmsc]"
"Gal","4","08","3.03","εἰ@cs οὖν@cc () ὁ@ddmp ἐν@pd ὁ@ddfs φύσις@ndfsc εἰμί@vppadmp θεός@ndmpc δουλεύω@vipa2p"
"Gal","4","09","3.03","πῶς@b ἐπιστρέφω@vipa2p πάλιν@b ἐπί@pa ὁ@danp ἀσθενής@ananpn καί@cc πτωχός@ananpn στοιχεῖον@nanpc ὅς@rrdnp πάλιν@b ἄνωθεν@b δουλεύω@vnpa θέλω@vipa2p"
"Gal","4","10","3.03","ἡμέρα@nafpc παρατηρέω@vipm2p καί@cc μήν@nampc καί@cc καιρός@nampc καί@cc ἐνιαυτός@nampc"
"Gal","4","11","3.03","[φοβέω@vipm1s σύ@rpa-p μή@x πώς@b εἰκῇ@b κοπιάω@vixa1s εἰς@pa σύ@rpa-p]"
"Gal","4","12","3.03","[γίνομαι@vdpm2p ὡς@cs ἐγώ@rpn-s ὅτι@cs καί@b ἐγώ@rpn-s ὡς@cs σύ@rpn-p ἀδελφός@nvmpc δέομαι@vipm1s σύ@rpg-p οὐδείς@rians ἐγώ@rpa-s ἀδικέω@viaa2p]"
"Gal","4","13","3.03","[οἶδα@vixa2p δέ@cc ὅτι@cs διά@pa ἀσθένεια@nafsc ὁ@dgfs σάρξ@ngfsc εὐαγγελίζω@viam1s σύ@rpd-p ὁ@dans πρότερος@anansc]"
"Gal","4","14","3.03","[καί@cc ὁ@dams πειρασμός@namsc σύ@rpg-p ἐν@pd ὁ@ddfs σάρξ@ndfsc ἐγώ@rpg-s οὐ@b ἐξουθενέω@viaa2p οὐδέ@cc ἐκπτύω@viaa2p ἀλλά@cc ὡς@cs ἄγγελος@namsc θεός@ngmsc δέχομαι@viam2p ἐγώ@rpa-s ὡς@cs Χριστός@namsp Ἰησοῦς@namsp]"
"Gal","4","15","3.03","[ποῦ@b οὖν@cc ὁ@dnms μακαρισμός@nnmsc σύ@rpg-p μαρτυρέω@vipa1s γάρ@cc σύ@rpd-p ὅτι@cs εἰ@cs δυνατός@annnsn ὁ@damp ὀφθαλμός@nampc σύ@rpg-p ἐξορύσσω@vpaanmp δίδωμι@viaa2p ἐγώ@rpd-s]"
"Gal","4","16","3.03","[ὥστε@cs ἐχθρός@annmsn σύ@rpg-p γίνομαι@vixa1s ἀληθεύω@vppanms σύ@rpd-p]"
"Gal","4","17","3.03","[ζηλόω@vipa3p σύ@rpa-p οὐ@b καλῶς@b ἀλλά@cc ἐκκλείω@vnaa σύ@rpa-p θέλω@vipa3p ἵνα@cs αὐτός@rpamp ζηλόω@vspa2p]"
"Gal","4","18","3.03","[καλός@annnsn δέ@cc ὁ@dans ζηλόω@vnpe ἐν@pd καλός@andnsn πάντοτε@b καί@cc μή@x μόνος@b ἐν@pd ὁ@ddns πάρειμι@vnpa ἐγώ@rpa-s πρός@pa σύ@rpa-p]"
"Gal","4","19","3.03","(τέκνον@nvnpc ἐγώ@rpg-s ὅς@rramp ὠδίνω@vipa1s πάλιν@b) [μέχρι@pg ὅς@rrgns μορφόω@vsap3s Χριστός@nnmsp ἐν@pd σύ@rpd-p]"
"Gal","4","20","3.03","[θέλω@viia1s δέ@cc πάρειμι@vnpa πρός@pa σύ@rpa-p ἄρτι@b καί@cc ἀλλάσσω@vnaa ὁ@dafs φωνή@nafsc ἐγώ@rpg-s ὅτι@cs ἀπορέω@vipm1s ἐν@pd σύ@rpd-p]"
"Gal","4","21","3.03","λέγω@vdpa2p ἐγώ@rpd-s ὁ@dnmp ὑπό@pa νόμος@namsc θέλω@vppanmp εἰμί@vnpa ὁ@dams νόμος@namsc οὐ@b ἀκούω@vipa2p"
"Gal","4","22","3.03","(γράφω@vixp3s γάρ@cc ὅτι@cs) Ἀβραάμ@nnmsp δύο@acampn υἱός@nampc ἔχω@viaa3s εἷς@acamsn ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc καί@cc εἷς@acamsn ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn"
"Gal","4","23","3.03","ἀλλά@cc ὁ@dnms μέν@x ἐκ@pg ὁ@dgfs παιδίσκη@ngfsc κατά@pa σάρξ@nafsc γεννάω@vixp3s ὁ@dnms δέ@cc ἐκ@pg ὁ@dgfs ἐλεύθερος@angfsn διά@pg ὁ@dgfs ἐπαγγελία@ngfsc"
